Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Sex,Country,Timestamp,Clicked on Ad
64.24,30,59784.18,252.36,Front-line intermediate database,Bristol,Female,England,16/04/2016 11:53,0
82.52,32,66572.39,198.11,Persevering exuding system engine,Glasgow,Male,Scotland,08/05/2016 15:38,0
81.38,31,64929.61,212.3,Balanced dynamic application,Manchester,Female,England,08/02/2016 00:23,0
80.47,25,57519.64,204.86,Reduced global support,Livingston,Female,Scotland,11/02/2016 13:26,0
37.68,52,53575.48,172.83,Organic leadingedge secured line,Southampton,Male,England,17/02/2016 13:16,1
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,Southampton,Male,England,26/02/2016 22:46,0
85.4,43,67058.72,198.72,Triple-buffered demand-driven alliance,Manchester,Female,England,08/06/2016 18:54,0
44.33,37,52723.34,123.72,Visionary maximized process improvement,Bridgend,Male,Wales,08/01/2016 09:32,1
48.01,46,54286.1,119.93,Centralized 24/7 installation,Bristol,Female,England,25/04/2016 11:01,1
73.18,23,61526.25,196.71,Organized static focus group,Hamilton,Male,Scotland,04/04/2016 07:07,0
79.94,28,58526.04,225.29,Visionary reciprocal circuit,Manchester,Female,England,03/05/2016 21:19,0
33.33,45,53350.11,193.58,Pre-emptive value-added workforce,London,Male,England,17/01/2016 09:31,1
50.33,50,62657.53,133.2,Sharable analyzing alliance,Dunfermline,Male,Scotland,02/03/2016 04:57,1
62.31,47,62722.57,119.3,Team-oriented encompassing portal,Hamilton,Female,Scotland,14/02/2016 07:36,1
80.6,31,67479.62,177.55,Sharable bottom-line solution,London,Female,England,07/04/2016 03:56,0
65.19,36,75254.88,150.61,Cross-group regional website,Southampton,Female,England,17/02/2016 11:42,1
44.98,49,52336.64,129.31,Organized global model,Glasgow,Female,Scotland,10/04/2016 00:13,1
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Tonypandy,Female,Wales,14/02/2016 17:05,0
41.82,41,24852.9,156.36,Phased transitional instruction set,Tonypandy,Female,Wales,26/05/2016 22:49,1
85.61,27,47708.42,183.43,Customer-focused empowering ability,Bristol,Female,England,30/04/2016 08:07,0
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Rhyl,Male,Wales,15/06/2016 05:30,0
72.08,29,71228.44,169.5,Stand-alone national attitude,Paisley,Female,Scotland,09/03/2016 14:45,0
86.06,32,61601.05,178.92,Focused upward-trending core,Birmingham,Male,England,31/03/2016 20:55,0
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,Rhyl,Female,Wales,03/06/2016 00:55,1
62.42,29,73910.9,198.5,Upgradable optimizing toolset,East Kilbride,Male,Scotland,10/03/2016 23:36,0
63.89,40,51317.33,105.22,Synchronized user-facing core,Glasgow,Female,Scotland,08/01/2016 00:17,1
35.33,32,51510.18,200.22,Organized client-driven alliance,Bristol,Female,England,05/06/2016 22:11,1
75.74,25,61005.87,215.25,Ergonomic multi-state structure,Nottingham,Male,England,16/01/2016 11:35,0
78.53,34,32536.98,131.72,Synergized multimedia emulation,Southampton,Female,England,22/04/2016 20:10,1
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Tonypandy,Female,Wales,01/02/2016 09:00,1
69.01,46,74543.81,222.63,Advanced full-range migration,Paisley,Female,Scotland,07/07/2016 13:37,0
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,Birmingham,Male,England,08/03/2016 00:37,1
33.21,43,42650.32,167.07,Polarized clear-thinking budgetary management,Cwmbran,Male,Wales,10/05/2016 17:39,1
38.46,42,58183.04,145.98,Customizable 6thgeneration knowledge user,Rhyl,Male,Wales,06/04/2016 11:24,1
64.1,22,60465.72,215.93,Seamless object-oriented structure,Newcastle,Female,England,01/04/2016 16:21,0
49.81,35,57009.76,120.06,Seamless real-time array,Southampton,Male,England,05/01/2016 04:18,1
82.73,33,54541.56,238.99,Grass-roots impactful system engine,London,Male,England,20/05/2016 21:31,0
56.14,38,32689.04,113.53,Devolved tangible approach,Cardiff,Male,Wales,03/02/2016 07:59,1
55.13,45,55605.92,111.71,Customizable executive software,Livingston,Female,Scotland,17/02/2016 21:55,1
78.11,27,63296.87,209.25,Progressive analyzing attitude,Newcastle,Male,England,30/01/2016 16:10,0
73.46,28,65653.47,222.75,Innovative executive encoding,Edinburgh,Male,Scotland,15/05/2016 14:41,0
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Dundee,Female,Scotland,05/01/2016 17:56,1
68.94,54,30726.26,138.71,Streamlined next generation implementation,Paisley,Female,Scotland,19/04/2016 07:34,1
70.79,31,74535.94,184.1,Distributed tertiary system engine,Liverpool,Female,England,15/03/2016 15:49,0
57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Glasgow,Female,Scotland,12/06/2016 15:25,1
77.51,36,73600.28,200.55,Total 5thgeneration encoding,Bridgend,Female,Wales,01/07/2016 04:41,0
52.7,34,58543.94,118.6,Integrated human-resource encoding,Southampton,Male,England,08/05/2016 12:12,1
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,Paisley,Female,Scotland,14/03/2016 23:13,1
56.89,37,37334.78,109.29,Open-source coherent policy,Paisley,Male,Scotland,25/05/2016 00:19,1
69.9,43,71392.53,138.35,Down-sized modular intranet,Glasgow,Female,Scotland,13/05/2016 11:51,1
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Sheffield,Female,England,20/02/2016 20:47,1
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Liverpool,Male,England,22/05/2016 20:49,0
50.08,40,64147.86,125.85,Ergonomic full-range time-frame,London,Male,England,10/04/2016 02:02,1
43.67,31,25686.34,166.29,Automated directional function,Cwmbran,Male,Wales,28/02/2016 06:41,1
72.84,26,52968.22,238.63,Progressive empowering alliance,Dundee,Female,Scotland,08/07/2016 21:18,0
45.72,36,22473.08,154.02,Versatile homogeneous capacity,Paisley,Male,Scotland,19/04/2016 15:14,1
39.94,41,64927.19,156.3,Function-based optimizing protocol,Barry,Female,Wales,08/01/2016 22:47,1
35.61,46,51868.85,158.22,Up-sized secondary software,London,Female,England,28/03/2016 08:46,1
79.71,34,69456.83,211.65,Seamless holistic time-frame,Dunfermline,Male,Scotland,02/07/2016 14:57,0
41.49,53,31947.65,169.18,Persevering reciprocal firmware,Leeds,Female,England,03/07/2016 09:22,1
63.6,23,51864.77,235.28,Centralized logistical secured line,Livingston,Male,Scotland,01/06/2016 09:27,0
89.91,40,59593.56,194.23,Innovative background conglomeration,Aberdeen,Female,Scotland,09/07/2016 14:55,0
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Aberdeen,Male,Scotland,09/02/2016 22:04,0
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,London,Female,England,10/06/2016 11:31,0
80.49,40,67186.54,229.12,Balanced heuristic approach,Sheffield,Male,England,14/02/2016 03:50,0
72.23,25,46557.92,241.03,Focused 24hour implementation,Tonypandy,Male,Wales,05/07/2016 17:17,0
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Bridgend,Female,Wales,28/04/2016 05:50,1
47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Newport,Female,Wales,03/04/2016 05:10,1
74.02,32,72272.9,210.54,Operative system-worthy protocol,Tonypandy,Female,Wales,09/03/2016 14:57,0
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,Bristol,Female,England,16/01/2016 23:37,1
63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Edinburgh,Male,Scotland,03/07/2016 04:33,1
71,22,56067.38,211.87,Extended systemic policy,Edinburgh,Female,Scotland,14/03/2016 06:46,0
46.13,46,37838.72,123.64,Horizontal hybrid challenge,Paisley,Male,Scotland,09/01/2016 05:44,1
69,32,72683.35,221.21,Virtual composite model,Bristol,Male,England,11/02/2016 04:37,0
76.99,31,56729.78,244.34,Switchable mobile framework,Leeds,Male,England,22/06/2016 07:33,0
72.6,55,66815.54,162.95,Focused intangible moderator,Bristol,Female,England,13/07/2016 16:12,1
61.88,42,60223.52,112.19,Balanced actuating moderator,Rhyl,Male,Wales,23/07/2016 11:46,1
84.45,50,29727.79,207.18,Customer-focused transitional strategy,Liverpool,Female,England,13/07/2016 04:10,1
88.97,45,49269.98,152.49,Advanced web-enabled standardization,Cardiff,Female,Wales,11/06/2016 18:32,1
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Newcastle,Male,England,08/05/2016 12:51,0
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,East Kilbride,Female,Scotland,07/04/2016 16:02,0
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,Livingston,Female,Scotland,04/02/2016 13:30,0
37.75,36,35466.8,225.24,Polarized dynamic throughput,Bristol,Female,England,26/02/2016 19:48,1
62.33,43,68787.09,127.11,Devolved zero administration intranet,Cumbernauld,Female,Scotland,21/06/2016 13:15,1
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Cardiff,Female,Wales,17/05/2016 04:27,0
80.31,44,56366.88,127.07,Cross-platform regional task-force,Dundee,Female,Scotland,18/04/2016 15:54,1
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Sheffield,Female,England,03/04/2016 10:07,0
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Newcastle,Female,England,04/04/2016 21:30,0
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,Cumbernauld,Female,Scotland,06/07/2016 16:00,0
46.98,50,21644.91,175.37,Down-sized well-modulated archive,Paisley,Female,Scotland,04/05/2016 09:00,1
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Newport,Female,Wales,13/06/2016 18:50,1
51.24,36,76368.31,176.73,Versatile transitional monitoring,Llanelli,Female,Wales,03/01/2016 16:01,1
75.7,29,67633.44,215.44,Profound zero administration instruction set,Barry,Female,Wales,14/01/2016 00:23,0
43.49,47,50335.46,127.83,User-centric intangible task-force,Birmingham,Female,England,12/01/2016 10:07,1
49.89,39,17709.98,160.03,Enhanced system-worthy application,Tonypandy,Male,Wales,16/04/2016 12:09,1
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,Dundee,Female,Scotland,13/05/2016 06:09,1
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Newcastle,Male,England,27/03/2016 23:59,1
71.89,23,61617.98,172.81,Function-based transitional complexity,Swansea,Male,Wales,03/02/2016 23:47,0
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Birmingham,Male,England,18/04/2016 11:23,0
83.86,31,64122.36,190.25,Up-sized executive moderator,Glasgow,Female,Scotland,05/02/2016 19:06,0
37.51,30,52097.32,163,Re-contextualized optimal service-desk,Bristol,Male,England,21/03/2016 18:46,1
55.6,44,65953.76,124.38,Fully-configurable neutral open system,Cumbernauld,Male,Scotland,14/06/2016 11:59,1
83.67,44,60192.72,234.26,Upgradable system-worthy array,Glasgow,Male,Scotland,06/02/2016 23:08,0
69.08,41,77460.07,210.6,Ergonomic client-driven application,Swansea,Female,Wales,12/03/2016 01:39,0
37.47,44,45716.48,141.89,Realigned content-based leverage,Edinburgh,Male,Scotland,26/01/2016 03:56,1
56.04,49,65120.86,128.95,Decentralized real-time circuit,Livingston,Male,Scotland,07/02/2016 08:02,1
70.92,41,49995.63,108.16,Polarized modular function,London,Male,England,05/05/2016 07:58,1
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Dunfermline,Female,Scotland,29/06/2016 02:43,1
68.61,57,61770.34,150.29,Diverse modular interface,Swansea,Female,Wales,10/04/2016 19:48,1
58.18,25,69112.84,176.28,Polarized analyzing concept,Swansea,Male,Wales,10/02/2016 06:37,0
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Birmingham,Female,England,28/05/2016 20:41,0
37,48,36782.38,158.22,Function-based context-sensitive secured line,Edinburgh,Male,Scotland,24/03/2016 06:36,1
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Swansea,Female,Wales,12/02/2016 22:51,0
79.52,27,64287.78,183.48,Automated coherent flexibility,Sheffield,Male,England,10/06/2016 10:11,0
87.98,38,56637.59,222.11,Focused scalable complexity,Sheffield,Male,England,31/03/2016 10:44,0
44.64,36,55787.58,127.01,Up-sized incremental encryption,East Kilbride,Female,Scotland,14/02/2016 06:51,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Cardiff,Male,Wales,07/01/2016 19:16,1
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Tonypandy,Male,Wales,04/02/2016 02:13,0
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Swansea,Female,Wales,09/05/2016 02:58,1
76.32,35,74166.24,195.31,Networked foreground definition,Dunfermline,Male,Scotland,23/06/2016 00:16,0
82.68,33,62669.59,222.77,Re-engineered exuding frame,Southampton,Male,England,20/06/2016 09:35,0
72.01,31,57756.89,251,Horizontal multi-state interface,Newcastle,Female,England,29/02/2016 12:31,0
75.83,24,58019.64,162.44,Diverse stable circuit,Nottingham,Female,England,17/01/2016 15:10,0
41.28,50,50960.08,140.39,Universal 24/7 implementation,Newport,Female,Wales,29/01/2016 03:54,1
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Wrexham,Female,Wales,14/07/2016 12:07,1
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Edinburgh,Female,Scotland,10/01/2016 23:14,1
86.06,31,53767.12,219.72,Extended local methodology,Hamilton,Male,Scotland,28/04/2016 18:34,0
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Birmingham,Male,England,06/07/2016 18:36,1
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,Sheffield,Female,England,27/05/2016 06:19,0
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Nottingham,Male,England,25/01/2016 07:39,1
71.84,47,76003.47,199.79,Advanced exuding conglomeration,Llanelli,Male,Wales,08/05/2016 22:47,0
80.23,31,68094.85,196.23,Secured clear-thinking middleware,Edinburgh,Female,Scotland,19/03/2016 14:23,0
74.41,26,64395.85,163.05,Right-sized value-added initiative,London,Female,England,23/07/2016 04:37,0
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,Bridgend,Female,Wales,23/06/2016 01:22,1
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Swansea,Female,Wales,19/07/2016 18:06,0
60.72,44,42995.8,105.69,Synergized context-sensitive database,Manchester,Female,England,28/02/2016 18:52,1
72.04,22,60309.58,199.43,Realigned systematic function,Dundee,Female,Scotland,10/02/2016 06:52,0
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Glasgow,Male,Scotland,27/03/2016 09:11,1
85.86,34,63115.34,208.23,Networked high-level structure,Bristol,Female,England,23/05/2016 02:15,0
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,Cardiff,Female,Wales,03/01/2016 03:22,1
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Cardiff,Female,Wales,04/01/2016 21:48,1
62.95,60,36752.24,157.04,Polarized tangible collaboration,Tonypandy,Female,Wales,24/05/2016 13:30,1
67.58,41,65044.59,255.61,Focused high-level conglomeration,Tonypandy,Male,Wales,01/02/2016 19:42,0
85.56,29,53673.08,210.46,Advanced modular Local Area Network,East Kilbride,Female,Scotland,05/06/2016 13:16,0
46.88,54,43444.86,136.64,Virtual scalable secured line,Dunfermline,Female,Scotland,04/02/2016 08:53,1
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Newport,Male,Wales,24/03/2016 13:37,1
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,London,Male,England,02/06/2016 21:02,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Cumbernauld,Female,Scotland,21/02/2016 07:42,1
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Nottingham,Female,England,26/06/2016 17:16,1
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,Southampton,Female,England,03/01/2016 05:34,1
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,Bridgend,Female,Wales,08/03/2016 18:00,1
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Paisley,Male,Scotland,19/06/2016 03:19,1
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,Newcastle,Male,England,21/07/2016 21:16,1
77.2,33,49325.48,254.05,Persistent homogeneous framework,Aberdeen,Male,Scotland,12/02/2016 20:36,0
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Aberdeen,Female,Scotland,17/05/2016 06:14,1
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,Hamilton,Male,Scotland,09/07/2016 11:04,1
78.57,36,64045.93,239.32,Exclusive client-driven model,Livingston,Male,Scotland,27/03/2016 02:35,0
73.41,31,73049.3,201.26,Profound executive flexibility,Dunfermline,Male,Scotland,16/01/2016 08:01,0
77.05,27,66624.6,191.14,Reduced bi-directional strategy,Liverpool,Female,England,21/01/2016 23:48,0
66.4,40,77567.85,214.42,Digitized heuristic solution,Tonypandy,Female,Wales,05/06/2016 00:29,0
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,London,Male,England,13/02/2016 15:37,0
35.65,40,31265.75,172.58,Seamless intangible secured line,Cwmbran,Male,Wales,10/05/2016 07:22,1
70.04,31,74780.74,183.85,Intuitive radical forecast,Manchester,Male,England,27/03/2016 03:59,0
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Bristol,Female,England,24/05/2016 18:35,0
58.22,29,37345.24,120.9,User-friendly client-server instruction set,London,Female,England,11/02/2016 02:40,1
76.9,28,66107.84,212.67,Synchronized multimedia model,Southampton,Female,England,22/04/2016 08:31,0
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Tonypandy,Male,Wales,13/01/2016 02:58,0
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Barry,Female,Wales,16/06/2016 02:01,1
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Newport,Male,Wales,27/06/2016 18:37,1
76.81,28,65172.22,217.85,Managed zero tolerance concept,Liverpool,Male,England,03/07/2016 12:57,0
41.89,38,68519.96,163.38,Compatible systemic function,Newcastle,Female,England,03/02/2016 04:21,1
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Manchester,Male,England,29/05/2016 21:17,0
67.28,43,76246.96,155.8,Future-proofed coherent hardware,Manchester,Male,England,03/04/2016 21:13,1
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Livingston,Female,Scotland,15/04/2016 11:51,0
66.01,23,34127.21,151.95,Front-line tangible alliance,East Kilbride,Female,Scotland,21/06/2016 03:14,1
61.57,53,35253.98,125.94,Progressive 24hour forecast,Hamilton,Male,Scotland,14/03/2016 14:13,1
53.3,34,44893.71,111.94,Self-enabling optimal initiative,Leeds,Female,England,06/05/2016 21:07,1
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Hamilton,Female,Scotland,12/06/2016 17:52,1
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,Swansea,Female,Wales,11/01/2016 07:36,1
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Hamilton,Female,Scotland,02/07/2016 00:24,0
75.83,27,67516.07,200.59,Managed upward-trending instruction set,Bristol,Female,England,04/03/2016 10:13,0
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Manchester,Female,England,24/03/2016 09:12,1
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Newport,Female,Wales,14/02/2016 07:30,1
89.15,42,59886.58,171.07,Phased zero administration success,Sheffield,Female,England,25/04/2016 07:30,0
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Newport,Female,Wales,10/02/2016 19:20,1
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,Aberdeen,Female,Scotland,23/04/2016 14:34,1
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,Swansea,Female,Wales,18/06/2016 17:56,1
70.68,31,74430.08,199.08,Configurable multi-state utilization,Cwmbran,Female,Wales,17/07/2016 01:58,0
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,Barry,Female,Wales,27/04/2016 04:28,0
66.67,33,72707.87,228.03,Horizontal content-based synergy,Livingston,Male,Scotland,21/04/2016 20:29,0
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Barry,Male,Wales,23/03/2016 06:00,1
62.42,38,74445.18,143.94,Diverse executive groupware,Rhyl,Female,Wales,19/07/2016 07:59,1
78.32,28,49309.14,239.52,Synergized cohesive array,Swansea,Female,Wales,26/06/2016 11:52,1
37.32,50,56735.14,199.25,Versatile dedicated software,Glasgow,Male,Scotland,30/03/2016 23:40,1
40.42,45,40183.75,133.9,Stand-alone reciprocal synergy,Newcastle,Male,England,16/03/2016 07:59,1
76.77,36,58348.41,123.51,Universal even-keeled analyzer,Newcastle,Female,England,04/05/2016 00:01,1
65.65,30,72209.99,158.05,Up-sized tertiary contingency,Birmingham,Female,England,02/07/2016 21:22,0
74.32,33,62060.11,128.17,Monitored real-time superstructure,Wrexham,Female,Wales,23/05/2016 21:14,1
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Tonypandy,Male,Wales,29/01/2016 20:16,0
80.03,44,24030.06,150.84,Automated static concept,Swansea,Female,Wales,23/07/2016 14:47,1
53.68,47,56180.93,115.26,Operative stable moderator,Llanelli,Male,Wales,16/02/2016 09:11,1
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Edinburgh,Male,Scotland,09/06/2016 21:43,0
85.03,30,60372.64,204.52,Expanded clear-thinking core,Llanelli,Female,Wales,19/06/2016 09:24,0
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,Rhyl,Male,Wales,06/06/2016 21:26,0
81.22,53,34309.24,223.09,Networked coherent interface,Hamilton,Male,Scotland,07/01/2016 13:25,0
39.96,45,59610.81,146.13,Enhanced homogeneous moderator,Bristol,Male,England,15/04/2016 06:08,1
57.05,41,50278.89,269.96,Seamless full-range website,Rhyl,Male,Wales,09/01/2016 03:45,1
42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Nottingham,Female,England,10/02/2016 15:23,1
62.2,25,25408.21,161.16,Cross-platform multimedia algorithm,Rhyl,Female,Wales,24/04/2016 13:42,1
76.7,36,71136.49,222.25,Open-source coherent monitoring,Southampton,Female,England,12/06/2016 05:31,0
61.22,45,63883.81,119.03,Streamlined logistical secured line,Llanelli,Male,Wales,05/01/2016 09:42,1
84.54,33,64902.47,204.02,Synchronized stable complexity,Aberdeen,Male,Scotland,02/03/2016 10:07,0
46.08,30,66784.81,164.63,Synergistic value-added extranet,Hamilton,Male,Scotland,21/07/2016 10:54,1
56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Edinburgh,Female,Scotland,09/01/2016 04:53,1
81.03,28,63727.5,201.15,Persevering tertiary capability,Tonypandy,Female,Wales,06/01/2016 13:20,0
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Bridgend,Female,Wales,31/01/2016 04:10,0
40.06,38,56782.18,138.68,Organized contextually-based customer loyalty,Rhyl,Male,Wales,11/06/2016 08:38,1
83.47,39,64447.77,226.11,Total directional approach,Wrexham,Female,Wales,15/05/2016 20:48,0
73.84,31,42042.95,121.05,Programmable uniform productivity,Paisley,Female,Scotland,18/06/2016 17:23,1
74.65,28,67669.06,212.56,Robust transitional ability,London,Female,England,17/03/2016 05:00,0
60.25,35,54875.95,109.77,De-engineered fault-tolerant database,Birmingham,Female,England,29/06/2016 13:35,1
